set,group,exam,instance,NC,RF,RS,model,heuristic,config,dominance,solved,makespan,time,expand_number,generated_number,depth,dominance_pruned,dominance_pop_pruned,ub_pruned,dr4_pruned,run_date,machine,source_file
j30,7,3,j307_3,1.5,0.5,0.7,TT,CP,base,False,True,42,0.0381114,1774,10403,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,7,4,j307_4,1.5,0.5,0.7,TT,CP,base,False,True,44,1.14694,89283,374135,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,7,5,j307_5,1.5,0.5,0.7,TT,CP,base,False,True,44,3.14412,190953,995679,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,7,6,j307_6,1.5,0.5,0.7,TT,CP,base,False,True,35,0.358467,17319,115746,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,7,7,j307_7,1.5,0.5,0.7,TT,CP,base,False,True,50,0.0858138,6709,30436,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,7,8,j307_8,1.5,0.5,0.7,TT,CP,base,False,True,44,1.21433,69969,397051,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,7,9,j307_9,1.5,0.5,0.7,TT,CP,base,False,False,,970.309,2678799,8897039,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,7,10,j307_10,1.5,0.5,0.7,TT,CP,base,False,False,,676.954,3576101,14745400,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,8,1,j308_1,1.5,0.5,1.0,TT,CP,base,False,True,44,0.000904917,44,217,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,8,2,j308_2,1.5,0.5,1.0,TT,CP,base,False,True,51,0.00370771,236,1153,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,8,3,j308_3,1.5,0.5,1.0,TT,CP,base,False,True,53,0.433687,20653,133340,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,8,4,j308_4,1.5,0.5,1.0,TT,CP,base,False,True,48,0.00365567,222,1072,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,8,5,j308_5,1.5,0.5,1.0,TT,CP,base,False,True,58,0.00281592,203,820,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,8,6,j308_6,1.5,0.5,1.0,TT,CP,base,False,True,47,0.00485104,332,1610,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,8,7,j308_7,1.5,0.5,1.0,TT,CP,base,False,True,41,0.00263204,117,636,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,8,8,j308_8,1.5,0.5,1.0,TT,CP,base,False,True,51,0.129133,7533,37224,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,8,9,j308_9,1.5,0.5,1.0,TT,CP,base,False,True,39,0.00325704,130,830,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,8,10,j308_10,1.5,0.5,1.0,TT,CP,base,False,True,67,0.0106493,496,2609,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,9,1,j309_1,1.5,0.75,0.2,TT,CP,base,False,False,,994.155,1818440,12109803,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,9,2,j309_2,1.5,0.75,0.2,TT,CP,base,False,False,,306.176,3707253,20211666,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,9,3,j309_3,1.5,0.75,0.2,TT,CP,base,False,False,,300.0,3203023,18355993,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,9,4,j309_4,1.5,0.75,0.2,TT,CP,base,False,False,,300.0,4168525,26800959,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,9,5,j309_5,1.5,0.75,0.2,TT,CP,base,False,False,,300.0,5544539,27910378,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,9,6,j309_6,1.5,0.75,0.2,TT,CP,base,False,False,,300.0,4867021,27908130,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,9,7,j309_7,1.5,0.75,0.2,TT,CP,base,False,False,,300.0,4272308,26218291,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,9,8,j309_8,1.5,0.75,0.2,TT,CP,base,False,False,,300.0,4882271,26636257,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,9,9,j309_9,1.5,0.75,0.2,TT,CP,base,False,False,,300.006,5023064,27061743,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,9,10,j309_10,1.5,0.75,0.2,TT,CP,base,False,False,,300.0,4032134,25994910,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,10,1,j3010_1,1.5,0.75,0.5,TT,CP,base,False,True,42,60.9967,2714937,15850218,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,10,2,j3010_2,1.5,0.75,0.5,TT,CP,base,False,True,56,65.1062,4192598,15918146,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,10,3,j3010_3,1.5,0.75,0.5,TT,CP,base,False,False,,300.0,6784007,32386634,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,10,4,j3010_4,1.5,0.75,0.5,TT,CP,base,False,True,58,38.9375,2329107,10388989,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,10,5,j3010_5,1.5,0.75,0.5,TT,CP,base,False,True,41,81.088,3336590,17814671,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,10,6,j3010_6,1.5,0.75,0.5,TT,CP,base,False,False,,300.0,5432692,30881378,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,10,7,j3010_7,1.5,0.75,0.5,TT,CP,base,False,True,49,6.87009,327134,1841049,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,10,8,j3010_8,1.5,0.75,0.5,TT,CP,base,False,False,,300.0,5289924,29800942,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,10,9,j3010_9,1.5,0.75,0.5,TT,CP,base,False,True,49,0.00637317,329,1609,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,10,10,j3010_10,1.5,0.75,0.5,TT,CP,base,False,False,,317.593,3916334,23508572,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,11,1,j3011_1,1.5,0.75,0.7,TT,CP,base,False,True,54,0.159355,7562,34018,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,11,2,j3011_2,1.5,0.75,0.7,TT,CP,base,False,True,56,0.0840141,6666,23701,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,11,3,j3011_3,1.5,0.75,0.7,TT,CP,base,False,True,81,2.23628,129006,550364,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
