group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned,dr4_pruned
13,4,0.321803,True,72,57528,216918,33,TT2,j30,LBCS_DP,47656,4451,10,54873
13,5,4.42866,True,67,630471,2421432,33,TT2,j30,LBCS_DP,789614,89933,0,631175
13,6,3.82375,True,64,487495,2007023,33,TT2,j30,LBCS_DP,638737,65769,360,406192
13,7,0.552428,True,77,98373,358615,33,TT2,j30,LBCS_DP,101737,9136,7,95385
13,8,0.0935873,True,106,25556,82697,33,TT2,j30,LBCS_DP,23489,1494,0,39639
13,9,0.842181,True,71,142228,518447,33,TT2,j30,LBCS_DP,179334,13659,124,181041
13,10,2.70389,True,64,391294,1536551,33,TT2,j30,LBCS_DP,540245,42159,267,605850
14,1,0.182262,True,50,33895,95695,33,TT2,j30,LBCS_DP,30938,4358,1804,32500
14,2,0.319377,True,53,45464,172203,33,TT2,j30,LBCS_DP,51935,3331,9,57897
14,3,0.311621,True,58,42627,174543,33,TT2,j30,LBCS_DP,34966,80,1236,36205
14,4,0.956772,True,50,165979,540558,33,TT2,j30,LBCS_DP,204732,34607,3092,133405
14,5,0.0137822,True,52,1590,6342,33,TT2,j30,LBCS_DP,867,125,327,3990
14,6,0.0697164,True,35,9043,39174,33,TT2,j30,LBCS_DP,5321,603,225,14781
14,7,0.441429,True,50,57148,213903,33,TT2,j30,LBCS_DP,52803,10842,8228,41819
14,8,0.0330721,True,54,4534,19196,33,TT2,j30,LBCS_DP,1287,0,11790,4714
14,9,0.246058,True,46,44369,142238,33,TT2,j30,LBCS_DP,30371,6111,2964,88583
14,10,0.002535,True,61,566,1626,33,TT2,j30,LBCS_DP,418,71,296,776
15,1,0.000181666,True,46,34,82,33,TT2,j30,LBCS_DP,0,0,6,62
15,2,0.000362458,True,47,56,222,33,TT2,j30,LBCS_DP,0,0,81,58
15,3,0.000254125,True,48,36,150,33,TT2,j30,LBCS_DP,0,0,19,31
15,4,0.000213041,True,48,33,117,33,TT2,j30,LBCS_DP,0,0,20,45
15,5,0.142383,True,58,25302,84516,33,TT2,j30,LBCS_DP,18195,2968,76,20997
15,6,0.000194375,True,67,37,99,33,TT2,j30,LBCS_DP,0,0,16,66
