group,exam,time,finished,makespan,expand number,generated number,depth,true makespan,iyar solved,iyar time,iyar expanded,iyar generated,is makespan OK?,time- part,NC,RF,RS,time ratio,expand ratio,generated ratio
17,9,10.1214,TRUE,48,16452,76299,33,48,TRUE,9.085433006,16451,76299,1,10-60 sec,1.8,0.25,0.2,1.114025055,1.000060787,1
17,10,0.0488151,TRUE,66,73,292,33,66,TRUE,0.05581975,77,317,1,0-10 sec,1.8,0.25,0.2,0.874513053,0.948051948,0.921135647
18,1,1.35335,TRUE,53,2011,10514,33,53,TRUE,1.569504976,2011,10517,1,0-10 sec,1.8,0.25,0.5,0.862278247,1,0.999714748
18,2,1.48285,TRUE,55,2205,11573,33,55,TRUE,1.387732983,2204,11573,1,0-10 sec,1.8,0.25,0.5,1.068541296,1.000453721,1
18,3,0.634318,TRUE,56,1144,4813,33,56,TRUE,0.823556662,1143,4812,1,0-10 sec,1.8,0.25,0.5,0.7702178,1.000874891,1.000207814
18,4,0.184689,TRUE,70,339,1426,33,70,TRUE,0.564466476,663,3107,1,0-10 sec,1.8,0.25,0.5,0.32719215,0.511312217,0.458963631
18,5,1.50685,TRUE,52,2627,12153,33,52,TRUE,1.798676014,2628,12160,1,0-10 sec,1.8,0.25,0.5,0.837755098,0.999619482,0.999424342
18,6,13.5681,TRUE,62,29430,114272,33,62,TRUE,15.4695735,29380,114096,1,10-60 sec,1.8,0.25,0.5,0.877083004,1.001701838,1.001542561
18,7,0.691778,TRUE,48,1166,5282,33,48,TRUE,0.725454807,1165,5282,1,0-10 sec,1.8,0.25,0.5,0.953578353,1.000858369,1
18,8,0.679119,TRUE,52,1445,5654,33,52,TRUE,0.995832682,1459,5690,1,0-10 sec,1.8,0.25,0.5,0.681960948,0.990404387,0.993673111
18,9,0.124388,TRUE,47,185,869,33,47,TRUE,0.220801592,184,869,1,0-10 sec,1.8,0.25,0.5,0.563347387,1.005434783,1
18,10,24.0256,TRUE,49,38903,190741,33,49,TRUE,20.827564,38902,190741,1,10-60 sec,1.8,0.25,0.5,1.15354825,1.000025706,1
19,1,2.6154,TRUE,40,3937,19505,33,40,TRUE,2.611751318,4023,19928,1,0-10 sec,1.8,0.25,0.7,1.001397025,0.978622918,0.978773585
19,2,0.0294966,TRUE,58,49,181,33,58,TRUE,0.070328236,48,181,1,0-10 sec,1.8,0.25,0.7,0.419413335,1.020833333,1
19,3,0.0514569,TRUE,83,72,310,33,83,TRUE,0.05980444,77,314,1,0-10 sec,1.8,0.25,0.7,0.860419394,0.935064935,0.987261146
19,4,0.033555,TRUE,39,41,209,33,39,TRUE,0.070466518,35,184,1,0-10 sec,1.8,0.25,0.7,0.476183597,1.171428571,1.135869565
19,5,0.606598,TRUE,48,742,4084,33,48,TRUE,0.705581427,753,4139,1,0-10 sec,1.8,0.25,0.7,0.859713673,0.985391766,0.986711766
19,6,3.21803,TRUE,49,6797,27864,33,49,TRUE,2.427695274,4309,18011,1,0-10 sec,1.8,0.25,0.7,1.325549394,1.577396148,1.547054578
19,7,1.69207,TRUE,57,3738,14599,33,57,TRUE,2.081663609,3973,15463,1,0-10 sec,1.8,0.25,0.7,0.812845069,0.940850743,0.944124685
19,8,0.116339,TRUE,55,183,786,33,55,TRUE,0.133770227,178,764,1,0-10 sec,1.8,0.25,0.7,0.869692776,1.028089888,1.028795812
19,9,0.268926,TRUE,38,337,1855,33,38,TRUE,0.219914198,320,1743,1,0-10 sec,1.8,0.25,0.7,1.222867839,1.053125,1.064257028
19,10,3.35535,TRUE,47,5543,26360,33,47,TRUE,3.472752333,5542,26360,1,0-10 sec,1.8,0.25,0.7,0.966193289,1.00018044,1
20,1,0.0837241,TRUE,57,131,565,33,57,TRUE,0.105222464,87,373,1,0-10 sec,1.8,0.25,1,0.795686556,1.505747126,1.514745308
20,2,0.0432762,TRUE,70,73,275,33,70,TRUE,0.186068058,202,841,1,0-10 sec,1.8,0.25,1,0.232582639,0.361386139,0.326991677
20,3,0.0607215,TRUE,49,83,378,33,49,TRUE,0.118526697,82,380,1,0-10 sec,1.8,0.25,1,0.512302304,1.012195122,0.994736842
20,4,0.0450035,TRUE,43,53,273,33,43,TRUE,0.050248384,52,272,1,0-10 sec,1.8,0.25,1,0.895620842,1.019230769,1.003676471
20,5,0.0254477,TRUE,61,38,124,33,61,TRUE,0.055291414,44,131,1,0-10 sec,1.8,0.25,1,0.460246866,0.863636364,0.946564885
20,6,0.0519525,TRUE,51,55,266,33,51,TRUE,0.088983536,51,251,1,0-10 sec,1.8,0.25,1,0.58384396,1.078431373,1.059760956
20,7,0.0623221,TRUE,42,94,382,33,42,TRUE,0.058377504,77,320,1,0-10 sec,1.8,0.25,1,1.067570481,1.220779221,1.19375
20,8,0.0703772,TRUE,51,106,461,33,51,TRUE,0.118859291,109,476,1,0-10 sec,1.8,0.25,1,0.592105164,0.972477064,0.968487395
20,9,0.0792673,TRUE,41,100,547,33,41,TRUE,0.087393284,99,541,1,0-10 sec,1.8,0.25,1,0.90701821,1.01010101,1.011090573
20,10,0.0547555,TRUE,37,73,309,33,37,TRUE,0.101916313,72,307,1,0-10 sec,1.8,0.25,1,0.537259428,1.013888889,1.006514658
21,1,768.132,FALSE,0,430865,1608268,0,84,FALSE,,,,,Out of Range,1.8,0.5,0.2,,,
21,2,600.034,FALSE,0,398160,1679571,0,59,TRUE,287.4090767,496543,2088716,,Out of Range,1.8,0.5,0.2,,,
21,3,661.987,FALSE,0,341353,1404858,0,76,FALSE,,,,,Out of Range,1.8,0.5,0.2,,,
21,4,600.005,FALSE,0,274833,1166710,0,70,TRUE,245.6919661,795182,3103423,,Out of Range,1.8,0.5,0.2,,,
21,5,271.949,TRUE,55,114329,575362,33,55,TRUE,67.34917092,114615,576849,1,2-5 min,1.8,0.5,0.2,4.037896774,0.99750469,0.997422202
21,6,1154.52,FALSE,0,38162,204394,0,76,FALSE,,,,,Out of Range,1.8,0.5,0.2,,,
