group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType
33,1,0.0322871,True,65,1479,5865,33,TT,j30
33,2,0.0386014,True,60,2215,8535,33,TT,j30
33,3,0.790598,True,55,44040,195044,33,TT,j30
33,4,0.0679354,True,77,2554,11256,33,TT,j30
33,5,0.0298559,True,53,1386,6078,33,TT,j30
33,6,0.00823491,True,59,212,736,33,TT,j30
33,7,0.00225809,True,58,80,268,33,TT,j30
33,8,0.188754,True,61,14868,46678,33,TT,j30
33,9,0.0773872,True,65,3677,14550,33,TT,j30
33,10,0.00224821,True,53,77,281,33,TT,j30
34,1,0.0990236,True,68,6440,24543,33,TT,j30
34,2,0.00307792,True,44,121,429,33,TT,j30
34,3,0.0111343,True,69,511,1954,33,TT,j30
34,4,0.00175474,True,67,57,204,33,TT,j30
34,5,0.122613,True,63,10673,38213,33,TT,j30
34,6,0.0267605,True,52,1093,4397,33,TT,j30
34,7,0.20887,True,58,18273,62093,33,TT,j30
34,8,0.0557549,True,58,3099,13690,33,TT,j30
34,9,0.000964688,True,60,38,110,33,TT,j30
34,10,0.00164778,True,47,47,199,33,TT,j30
35,1,0.00398072,True,57,43,154,33,TT,j30
35,2,0.00294451,True,53,59,241,33,TT,j30
35,3,0.00297153,True,60,46,150,33,TT,j30
35,4,0.0154103,True,50,693,3038,33,TT,j30
35,5,0.00156395,True,60,34,92,33,TT,j30
35,6,0.00457101,True,58,121,478,33,TT,j30
35,7,0.00321535,True,61,116,393,33,TT,j30
35,8,0.00158952,True,63,42,161,33,TT,j30
35,9,0.0038141,True,59,149,581,33,TT,j30
35,10,0.0248485,True,59,1489,5469,33,TT,j30
36,1,0.00156737,True,66,53,223,33,TT,j30
36,2,0.00462718,True,44,59,233,33,TT,j30
36,3,0.0018172,True,61,42,156,33,TT,j30
36,4,0.00135661,True,59,35,112,33,TT,j30
36,5,0.00356203,True,64,136,499,33,TT,j30
36,6,0.00377887,True,46,66,238,33,TT,j30
36,7,0.00403451,True,56,61,232,33,TT,j30
36,8,0.00309118,True,63,55,190,33,TT,j30
36,9,0.00411042,True,59,56,229,33,TT,j30
36,10,0.00490176,True,59,82,326,33,TT,j30
37,1,300.0,False,0,19990116,64939376,0,TT,j30
37,2,10.157,True,69,521656,1957613,33,TT,j30
37,3,28.6362,True,81,1082864,4275823,33,TT,j30
37,4,170.31,True,83,10700470,36559290,33,TT,j30
37,5,0.534677,True,80,22070,86552,33,TT,j30
37,6,1.63232,True,73,90780,311057,33,TT,j30
37,7,300.0,False,0,16003880,58620317,0,TT,j30
37,8,2.33536,True,72,127520,454421,33,TT,j30
37,9,2.06688,True,57,87272,353603,33,TT,j30
37,10,158.766,True,81,12297746,35421928,33,TT,j30
38,1,0.0164467,True,48,386,1623,33,TT,j30
38,2,0.119138,True,54,4646,20025,33,TT,j30
38,3,0.0994721,True,59,3985,17678,33,TT,j30
38,4,0.00723616,True,59,241,903,33,TT,j30
38,5,1.73141,True,71,116618,407875,33,TT,j30
38,6,0.0397201,True,63,2076,7172,33,TT,j30
38,7,0.0336417,True,65,830,4050,33,TT,j30
38,8,0.114672,True,61,8712,28853,33,TT,j30
38,9,0.127882,True,63,6740,26039,33,TT,j30
38,10,0.156975,True,60,7407,32462,33,TT,j30
39,1,0.00148931,True,55,42,158,33,TT,j30
39,2,0.00209766,True,54,70,234,33,TT,j30
39,3,0.00498989,True,54,164,683,33,TT,j30
39,4,0.00186426,True,53,56,227,33,TT,j30
39,5,0.00159216,True,55,44,167,33,TT,j30
39,6,0.00950964,True,69,263,1244,33,TT,j30
39,7,3.95213,True,56,429180,1177784,33,TT,j30
39,8,0.00160527,True,67,45,171,33,TT,j30
39,9,0.0284763,True,64,1978,6384,33,TT,j30
39,10,0.139193,True,60,13802,37363,33,TT,j30
40,1,0.00325861,True,51,47,175,33,TT,j30
40,2,0.00216691,True,56,60,248,33,TT,j30
40,3,0.00289291,True,57,60,234,33,TT,j30
40,4,0.00125641,True,57,39,136,33,TT,j30
40,5,0.0039415,True,65,123,573,33,TT,j30
40,6,0.00171963,True,60,74,247,33,TT,j30
40,7,0.00285745,True,46,54,224,33,TT,j30
40,8,0.00421861,True,57,70,258,33,TT,j30
40,9,0.00313814,True,64,49,186,33,TT,j30
40,10,0.00540967,True,51,97,377,33,TT,j30
41,1,73.9441,True,86,3755837,13532707,33,TT,j30
41,2,300.0,False,0,11757712,42107184,0,TT,j30
41,3,300.0,False,0,14721100,53140894,0,TT,j30
41,4,300.0,False,0,10568685,44759754,0,TT,j30
41,5,35.6363,True,99,1309783,5083666,33,TT,j30
41,6,300.0,False,0,9123941,37802545,0,TT,j30
41,7,300.0,False,0,9664778,42254255,0,TT,j30
41,8,300.0,False,0,15281615,53063112,0,TT,j30
41,9,300.0,False,0,12882531,51392576,0,TT,j30
41,10,300.0,False,0,9099205,40668699,0,TT,j30
42,1,0.0102904,True,58,162,726,33,TT,j30
42,2,1.47361,True,50,56486,271764,33,TT,j30
42,3,0.676219,True,60,22159,89826,33,TT,j30
42,4,1.4385,True,49,51035,225602,33,TT,j30
42,5,0.00381936,True,52,120,522,33,TT,j30
42,6,0.263546,True,66,8247,35575,33,TT,j30
42,7,2.33794,True,66,135628,493468,33,TT,j30
42,8,45.7686,True,82,2493657,8537190,33,TT,j30
42,9,1.20763,True,60,36281,174907,33,TT,j30
42,10,0.00182714,True,75,56,209,33,TT,j30
43,1,11.6444,True,55,532122,2209731,33,TT,j30
43,2,0.00151699,True,43,44,165,33,TT,j30
43,3,0.0193818,True,57,646,2743,33,TT,j30
43,4,0.0674329,True,67,2292,8265,33,TT,j30
43,5,1.18969,True,64,53822,210049,33,TT,j30
43,6,0.0557085,True,58,2059,7806,33,TT,j30
43,7,0.00276925,True,52,73,308,33,TT,j30
43,8,0.00880766,True,62,560,1666,33,TT,j30
43,9,0.44199,True,57,25918,90308,33,TT,j30
43,10,0.772291,True,60,39178,138509,33,TT,j30
44,1,0.00253749,True,50,69,306,33,TT,j30
44,2,0.00166314,True,54,48,192,33,TT,j30
44,3,0.0051935,True,51,78,331,33,TT,j30
44,4,0.00115691,True,57,33,108,33,TT,j30
44,5,0.00200206,True,55,56,230,33,TT,j30
44,6,0.00380307,True,56,49,166,33,TT,j30
44,7,0.00276311,True,42,71,287,33,TT,j30
44,8,0.00525704,True,49,72,288,33,TT,j30
44,9,0.00126033,True,64,38,107,33,TT,j30
44,10,0.00416949,True,63,53,175,33,TT,j30
45,1,300.0,False,0,10346655,44366146,0,TT,j30
45,2,300.0,False,0,7523136,36412269,0,TT,j30
45,3,300.0,False,0,11317980,43164126,0,TT,j30
45,4,300.0,False,0,10954790,43264625,0,TT,j30
45,5,300.0,False,0,12681647,43162701,0,TT,j30
45,6,300.0,False,0,8322646,36690363,0,TT,j30
45,7,300.0,False,0,10431226,42386131,0,TT,j30
45,8,300.0,False,0,13963342,46171279,0,TT,j30
45,9,300.0,False,0,8808396,38132386,0,TT,j30
45,10,292.494,True,90,9838629,38820835,33,TT,j30
46,1,0.231009,True,59,8228,33891,33,TT,j30
46,2,1.98715,True,67,58610,257924,33,TT,j30
46,3,40.9645,True,65,1945698,6997112,33,TT,j30
46,4,0.161389,True,64,6249,22488,33,TT,j30
46,5,0.101566,True,57,2707,12911,33,TT,j30
46,6,19.3719,True,59,811602,3061502,33,TT,j30
46,7,300.0,False,0,12285452,49724560,0,TT,j30
46,8,0.150443,True,58,3513,16367,33,TT,j30
46,9,5.09186,True,49,164454,684527,33,TT,j30
46,10,27.8965,True,55,1073691,4473500,33,TT,j30
47,1,0.00295467,True,58,61,191,33,TT,j30
47,2,0.00324495,True,59,89,379,33,TT,j30
47,3,0.00858244,True,55,115,453,33,TT,j30
47,4,0.0633962,True,49,1883,8971,33,TT,j30
47,5,0.230157,True,47,9488,33654,33,TT,j30
47,6,1.16007,True,53,43802,176332,33,TT,j30
47,7,2.56293,True,66,137708,489783,33,TT,j30
47,8,0.00218733,True,48,61,235,33,TT,j30
47,9,0.00669447,True,65,217,800,33,TT,j30
47,10,1.58214,True,60,56417,241794,33,TT,j30
48,1,0.00175511,True,63,41,169,33,TT,j30
48,2,0.00596496,True,54,155,627,33,TT,j30
48,3,0.00719295,True,50,130,608,33,TT,j30
48,4,0.0016157,True,57,47,163,33,TT,j30
48,5,0.00248341,True,58,82,326,33,TT,j30
48,6,0.00457139,True,58,55,198,33,TT,j30
48,7,0.00167103,True,55,43,134,33,TT,j30
48,8,0.0030912,True,44,84,339,33,TT,j30
48,9,0.00527916,True,59,81,301,33,TT,j30
48,10,0.00172519,True,54,47,184,33,TT,j30
