Group,Exam,CP,HRES,LBCS,LBCC,LBIP0,LBRC,t_cp_us,t_hres_us,t_lbcs_us,t_lbcc_us,t_lbip0_us,t_lbrc_us
47,4,93,67.7143,93,93,93,68,1,7,13,25,253,3
47,5,93,68.7907,93,93,93,69,1,9,15,29,265,4
47,6,98,64.1304,98,98,98,65,1,8,15,24,264,3
47,7,94,55.463,94,94,94,56,1,9,16,25,267,4
47,8,98,61.1739,98,98,98,62,1,8,18,28,275,4
47,9,86,53.0435,86,86,86,54,1,9,16,27,248,3
47,10,65,45.5714,65,65,65,46,1,11,14,28,291,4
48,1,83,40.7536,83,83,83,41,1,8,15,25,269,3
48,2,89,39.7031,89,89,89,40,1,8,14,28,288,4
48,3,86,43.2712,86,86,86,44,1,8,14,25,248,3
48,4,91,46.6842,91,91,91,47,1,9,15,26,257,3
48,5,75,39.8594,75,75,75,40,1,9,12,25,263,4
48,6,114,51.4074,114,114,114,52,1,9,20,29,243,3
48,7,103,40.25,103,103,103,41,1,13,20,31,285,4
48,8,74,41.2679,74,74,74,42,1,8,13,26,251,4
48,9,89,44.2069,89,89,89,45,1,8,16,25,247,3
48,10,93,42.6875,93,93,93,43,1,9,17,29,291,3
