group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
17,7,18.7312,True,83,1072384,8213546,63,TT2,j60,LBCS_DP,2508805,224472,0
17,8,300,False,0,12210610,100882000,0,TT2,j60,LBCS_DP,58011149,1375897,0
17,9,137.562,True,76,9409901,74598690,63,TT2,j60,LBCS_DP,34340493,83216,0
17,10,300,False,0,16441983,138385236,0,TT2,j60,LBCS_DP,51098745,3418508,0
18,1,300.001,False,0,18488305,147770677,0,TT2,j60,LBCS_DP,61832453,8365,0
18,2,300,False,0,10403059,114851414,0,TT2,j60,LBCS_DP,38384841,548,0
18,3,0.581453,True,77,33364,260847,63,TT2,j60,LBCS_DP,63424,0,0
18,4,96.2706,True,71,5327348,54473460,63,TT2,j60,LBCS_DP,20930395,439,0
18,5,300,False,0,20157974,156230175,0,TT2,j60,LBCS_DP,61316163,43503,0
18,6,300,False,0,14216118,145747537,0,TT2,j60,LBCS_DP,60275261,0,0
18,7,300,False,0,21480020,168267029,0,TT2,j60,LBCS_DP,72363707,34748,0
18,8,2.74671,True,78,213422,1548643,63,TT2,j60,LBCS_DP,446205,0,0
18,9,0.320848,True,69,6925,80155,63,TT2,j60,LBCS_DP,10627,0,0
18,10,27.9583,True,97,1801045,16725227,63,TT2,j60,LBCS_DP,6057685,537,0
19,1,300,False,0,17813800,156392847,0,TT2,j60,LBCS_DP,62444172,0,0
19,2,0.00943949,True,83,357,2510,63,TT2,j60,LBCS_DP,123,0,0
19,3,300,False,0,16788662,153456016,0,TT2,j60,LBCS_DP,63055890,8002,0
19,4,0.134025,True,67,12280,79572,63,TT2,j60,LBCS_DP,15686,0,0
19,5,0.00499408,True,73,132,1063,63,TT2,j60,LBCS_DP,12,0,0
19,6,161.462,True,69,14731181,87759637,63,TT2,j60,LBCS_DP,32300085,2152349,0
19,7,2.93584,True,60,215142,1767857,63,TT2,j60,LBCS_DP,611964,2,0
19,8,300,False,0,22992827,185261800,0,TT2,j60,LBCS_DP,85003003,17168,0
19,9,3.62602,True,69,250055,1823283,63,TT2,j60,LBCS_DP,449906,27006,0
19,10,6.18022,True,78,446842,3647306,63,TT2,j60,LBCS_DP,1367113,0,0
20,1,0.006265,True,60,517,3284,63,TT2,j60,LBCS_DP,283,0,0
20,2,0.0129325,True,78,237,2185,63,TT2,j60,LBCS_DP,0,0,0
20,3,14.8075,True,69,971760,8642711,63,TT2,j60,LBCS_DP,3609542,0,0
20,4,0.00301965,True,86,135,1038,63,TT2,j60,LBCS_DP,32,0,0
20,5,0.00270061,True,71,100,745,63,TT2,j60,LBCS_DP,4,0,0
20,6,0.00323584,True,97,67,482,63,TT2,j60,LBCS_DP,0,0,0
20,7,0.00245658,True,74,67,484,63,TT2,j60,LBCS_DP,0,0,0
20,8,23.3811,True,65,1583010,13083256,63,TT2,j60,LBCS_DP,5140430,0,0
20,9,0.00179748,True,74,71,499,63,TT2,j60,LBCS_DP,0,0,0
20,10,0.00190533,True,70,71,545,63,TT2,j60,LBCS_DP,0,0,0
21,1,171.731,True,103,9945718,69930643,63,TT2,j60,LBCS_DP,44063828,1373805,0
21,2,300,False,0,14161406,104529523,0,TT2,j60,LBCS_DP,57863175,1423076,0
21,3,300,False,0,12140372,100499358,0,TT2,j60,LBCS_DP,50184455,1336310,0
21,4,300,False,0,15851979,116469674,0,TT2,j60,LBCS_DP,61426438,1961726,0
21,5,300,False,0,13609086,104129852,0,TT2,j60,LBCS_DP,47536049,2487053,0
21,6,300,False,0,14330970,110617405,0,TT2,j60,LBCS_DP,65128193,1812613,0
21,7,300,False,0,16855783,121636885,0,TT2,j60,LBCS_DP,76222326,2238602,0
21,8,300,False,0,16764883,120166063,0,TT2,j60,LBCS_DP,67179610,2298150,0
21,9,300,False,0,11224818,103125020,0,TT2,j60,LBCS_DP,44168296,1827678,0
21,10,300,False,0,15117286,105726030,0,TT2,j60,LBCS_DP,54749466,2743023,0
22,1,52.1167,True,64,4317520,23146233,63,TT2,j60,LBCS_DP,8273928,1634431,0
22,2,300,False,0,8825978,99849425,0,TT2,j60,LBCS_DP,30794338,142,0
22,3,300,False,0,12773411,122578459,0,TT2,j60,LBCS_DP,46855664,3680,0
22,4,300,False,0,9540580,81574688,0,TT2,j60,LBCS_DP,33246185,750821,0
22,5,300,False,0,12156167,108829208,0,TT2,j60,LBCS_DP,36166159,1986,0
22,6,300,False,0,12465071,106512822,0,TT2,j60,LBCS_DP,40373700,549,0
22,7,300,False,0,10893852,99526887,0,TT2,j60,LBCS_DP,36266848,389,0
22,8,233.836,True,59,9240470,88235864,63,TT2,j60,LBCS_DP,32311418,0,0
22,9,0.243991,True,65,12543,107737,63,TT2,j60,LBCS_DP,16592,0,0
22,10,300,False,0,10694855,112841466,0,TT2,j60,LBCS_DP,44216166,514,0
23,1,1.88043,True,75,126351,959316,63,TT2,j60,LBCS_DP,296643,0,0
23,2,0.434612,True,69,24448,190688,63,TT2,j60,LBCS_DP,59368,0,0
