group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
15,1,0.198004,True,46,17515,100322,33,TT2,j30,LBMAX_DP,17504,2,0
15,2,0.000393064,True,47,33,159,33,TT2,j30,LBMAX_DP,0,0,0
15,3,0.000978851,True,48,75,442,33,TT2,j30,LBMAX_DP,0,0,0
15,4,0.000557936,True,48,45,242,33,TT2,j30,LBMAX_DP,0,0,0
15,5,0.611223,True,58,60897,264337,33,TT2,j30,LBMAX_DP,59790,12593,0
15,6,0.877814,True,67,70179,371121,33,TT2,j30,LBMAX_DP,70307,58,0
15,7,0.00493236,True,47,582,2602,33,TT2,j30,LBMAX_DP,373,0,0
15,8,2.43588,True,50,284147,1100569,33,TT2,j30,LBMAX_DP,345810,74118,0
15,9,0.000477653,True,54,42,198,33,TT2,j30,LBMAX_DP,0,0,0
15,10,0.229336,True,65,26999,112062,33,TT2,j30,LBMAX_DP,15182,105,0
16,1,0.0953087,True,51,9313,52329,33,TT2,j30,LBMAX_DP,6261,4,0
16,2,0.0472493,True,48,5206,26825,33,TT2,j30,LBMAX_DP,4751,0,0
16,3,0.000395633,True,36,33,157,33,TT2,j30,LBMAX_DP,0,0,0
16,4,0.000364152,True,47,33,151,33,TT2,j30,LBMAX_DP,0,0,0
16,5,0.000375607,True,51,33,151,33,TT2,j30,LBMAX_DP,0,0,0
16,6,0.000369795,True,51,35,163,33,TT2,j30,LBMAX_DP,0,0,0
16,7,0.000383211,True,34,33,153,33,TT2,j30,LBMAX_DP,0,0,0
16,8,0.000417478,True,44,37,176,33,TT2,j30,LBMAX_DP,0,0,0
16,9,0.00365357,True,44,381,2037,33,TT2,j30,LBMAX_DP,230,0,0
16,10,0.00040916,True,51,34,178,33,TT2,j30,LBMAX_DP,0,0,0
17,1,0.137024,True,64,22925,109418,33,TT2,j30,LBMAX_DP,58460,2169,0
17,2,0.0400449,True,68,9054,33514,33,TT2,j30,LBMAX_DP,13842,1747,0
17,3,0.0238384,True,60,3528,19580,33,TT2,j30,LBMAX_DP,2089,0,0
17,4,0.0104282,True,49,1524,7778,33,TT2,j30,LBMAX_DP,2951,142,0
17,5,0.0247193,True,47,4672,19589,33,TT2,j30,LBMAX_DP,9612,528,0
17,6,0.00634984,True,63,1141,5237,33,TT2,j30,LBMAX_DP,1028,0,0
17,7,0.0237016,True,57,3814,18122,33,TT2,j30,LBMAX_DP,7319,400,0
17,8,0.00624996,True,61,1117,4350,33,TT2,j30,LBMAX_DP,1220,114,0
17,9,0.026691,True,48,4690,21275,33,TT2,j30,LBMAX_DP,8729,419,0
17,10,0.00624007,True,66,943,4619,33,TT2,j30,LBMAX_DP,1116,0,0
18,1,0.0175861,True,53,3673,13774,33,TT2,j30,LBMAX_DP,3437,1084,0
18,2,0.00597879,True,55,1023,4852,33,TT2,j30,LBMAX_DP,1452,41,0
18,3,0.0198832,True,56,4592,17003,33,TT2,j30,LBMAX_DP,4155,730,0
18,4,0.0149964,True,70,2491,12199,33,TT2,j30,LBMAX_DP,2081,0,0
18,5,0.0994415,True,52,18725,78702,33,TT2,j30,LBMAX_DP,18855,1907,0
18,6,0.0927141,True,62,18904,75562,33,TT2,j30,LBMAX_DP,26533,3567,0
18,7,0.0149911,True,48,2924,11913,33,TT2,j30,LBMAX_DP,1826,310,0
18,8,0.04061,True,52,8539,29995,33,TT2,j30,LBMAX_DP,5375,1254,0
18,9,0.000524419,True,47,60,259,33,TT2,j30,LBMAX_DP,8,2,0
18,10,0.0745033,True,49,14251,62030,33,TT2,j30,LBMAX_DP,27435,2027,0
19,1,0.0771466,True,40,11570,60240,33,TT2,j30,LBMAX_DP,13288,9,0
19,2,0.000287968,True,58,33,133,33,TT2,j30,LBMAX_DP,0,0,0
19,3,0.00370529,True,83,635,2842,33,TT2,j30,LBMAX_DP,150,0,0
19,4,0.000800723,True,39,105,485,33,TT2,j30,LBMAX_DP,8,0,0
19,5,0.0204212,True,48,2682,14865,33,TT2,j30,LBMAX_DP,2841,15,0
